what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688481902
executed,command,com.google.gdt.eclipse.suite,2.5.1.v201201120043-rel-r37,"com.google.gdt.eclipse.suite.newWebAppProject",1327688481907
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688492921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688511047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1327688511054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1327688511054
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1327688511230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688513890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688602444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688612109
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1327688811649
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688821678
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688834771
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1327688874165
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688874710
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1327688874759
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327688875292
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327688875495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688882519
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688891394
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327688893870
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1327688894432
error,log,,,"Exception occurred in reconcile participant",1327688894435
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1327688894535
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1327688900212
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1327688900218
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1327688900218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688909350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688909483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688930606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688945724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688951997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327688974650
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1327688981396
executed,command,,,"com.google.gdt.eclipse.suite.launch.ui.webappLaunchShortcut.run",1327689028643
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327689031267
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327689036248
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1327689039710
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689040930
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689381707
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689383215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689405720
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689420217
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689443438
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327689445666
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1327689477267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327689477850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689498606
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689854481
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327689861958
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327689866712
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327689866750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689874318
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689895237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327689896491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327689907562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689911358
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689933436
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327689938291
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1327689943644
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689947268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689989519
started,bundle,com.google.appengine.eclipse.datatools,2.5.1.v201201120043-rel-r37,"com.google.appengine.eclipse.datatools",1327689991810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689991902
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327689999541
executed,command,com.google.appengine.eclipse.core,2.5.1.v201201120043-rel-r37,"com.google.appengine.eclipse.core.deployToGoogle",1327690000071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327690000118
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327690023592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327690027775
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327690055000
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1327690066524
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1327690075058
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327690079142
